program_id,code,error_id_1,error_id_2,error_class_id
prog00278,"  1 #include <stdio.h>
  2 int main()
  3 {
  4     int k,n,x,a[100];
  5     scanf(""%d"", &k);
  6     scanf(""%d"", &n);
  7     
  8     for(i=0;i<n;i++)
  9     scanf(""%d"", &a[i]);
 10     
 11     for(i=0;i<n;i++)
 12     {
 13         x=k-a[i];
 14         for(i=0;i<n;i++)
 15         {
 16             if(a[i]==x)
 17             {printf(""lucky"");
 18             break;}
 19             else
 20             continue;
 21         }
 22         printf(""unlucky"");
 23     }
 24 
 25     return 0;
 26 }",ID,NoDef,0
prog31047,"  1 #include <stdio.h>
  2 int main(){
  3     int k,n,i,j,num[499] ;
  4     scanf (""%d\n"",&k) ;        // k=lucky number 
  5     scanf (""%d\n"",&n) ;        //n=length of list 
  6     for (i=0;i<=n;i++)         //
  7     {
  8         scanf (""%d"",&num[i]);
  9     }
 10     for (j=1;j<=n;j++)
 11     {
 12         if (num[i]==k-j)
 13         printf (""lucky"") ;
 14         else 
 15         printf (""unlucky"") 
 16     }
 17     return 0;
 18 }",Bound,Lost,1
prog37257,"  1 #include <stdio.h>
  2 int main(){int i,c,b,d=0,a[500];
  3     scanf(""%i%i"",&c,&b);
  4     for(i=0;i<b;++i)
  5     scanf(""%i"",&a[i]);
  6     for(i=0;i<b-1;++i)
  7     {for(j=i+1;j<b;++j)
  8     if(a[i]+a[j]==c){d=1;break;}}
  9     if(d==1)printf(""lucky"");
 10     else printf(""unlucky"");
 11     return 0;
 12 }",ID,NoDef,0
prog02542,"  1 #include <stdio.h>
  2 int main(){
  3     int i,j,k,n,s;
  4     int a[1000];
  5     scanf(""%d"",&k);
  6     scanf("" %d"",&n);
  7     for(i=0;i<n;i++)
  8     scanf("" %d"",&a[i]);
  9     s=0;
 10     for(i=0;i<n;i++)
 11     {
 12         int count=0;
 13         for(j=0;j<n;j++)
 14         s=a[i]+a[j];
 15     
 16         if(s==k)
 17         count++;
 18         break;
 19     }
 20     if(count==0)
 21     printf(""unlucky"");
 22     if(count!=0)
 23     printf(""lucky"");
 24     return 0;
 25     
 26 }",ID,NoDef,0
prog13350,"  1 #include <stdio.h>
  2 int main(){
  3     int a,b,c,i,k,j;
  4     scanf(""%d"",&a);
  5     scanf(""%d"",&b);
  6     int s[b];
  7     for(i=0;i<b;i++){
  8         scanf(""%d"",&s[i]);
  9     }
 10     c=0;
 11     for(i=0;i<b;i++){
 12         k=s[i];
 13         for(j=i+1;j<a;j++){
 14             if(s[j]==k-1) {printf(""lucky"")
 15             c=1
 16             break;}
 17         }
 18     }
 19     if(c==0) printf(""unlucky"");
 20     // Insert your code here
 21     return 0;
 22     
 23 }",Bound,Lost,1
prog07992,"  1 #include <stdio.h>
  2 int main(){
  3     int k,n,i,j;
  4     int m=0;
  5     scanf(""%d"",&k);
  6     scanf(""%d"",&n);
  7     int a[n];
  8     for(i=0;i<n;i++){scanf(""%d"",&a[i]);}
  9     
 10     for(p=0;p<k;k++){for(i=0;i<n;i++){
 11         for(j=0;j<n;j++){
 12             if(a[i]+a[j]==k && m==0){printf(""lucky"");m++;}
 13             if(m==1)break;
 14         }
 15         if(m==1)break;
 16     }
 17         if(m==0){printf(""unlucky"");}
 18     }
 19 
 20     return 0;
 21 }",ID,NoDef,0
prog52936,"  1 #include <stdio.h>
  2 int main()
  3 {
  4     int l,n,a[1000],i,j,flag=0;
  5     scanf(""%d%d"",&l,&n);
  6     for(i=0;i<n;i++)
  7     scanf(""%d"",a[i]);
  8     for(j=0;j<l;j++)
  9     {
 10         if
 11         ({
 12             for(i=0;i<l;i++)
 13             j==a[i];
 14         }
 15         &&
 16         {
 17             for(i=0;i<l;i++)
 18             l-j==a[i];
 19         })
 20         flag=1;
 21         break;
 22     }
 23     if (flag==1)
 24     printf(""lucky"");
 25     else 
 26     printf(""unlucky"");
 27     return 0;
 28 }",Not,Include,2
prog42233,"  1 #include <stdio.h>
  2 int main(){
  3    int a[1000];
  4     int i,j,n,k,m=0;
  5     scanf(""%d"",&k);
  6     scanf(""%d"",&n);
  7     
  8     for (i=0;i<1000;i++){
  9         scanf(""%d"",&a[i]);
 10              }
 11                 
 12     for (i=0;i<1000;i++){
 13         j=k-a[i];
 14         while(m<1000){
 15             if (a[m]==j){
 16                 printf(""lucky"");
 17                 break;
 18             }
 19             m++;
 20         }
 21                     
 22            
 23     
 24     return 0;
 25 }",Bound,NotMatch,3
prog01051,"  1 #include <stdio.h>
  2 int main(){
  3     int lucky,n,arr[500];
  4     scanf(""%d %d"",&lucky,&n);
  5     int list[n];
  6     for(int i=0;i<n;i++)
  7     {
  8         scanf(""%d "",&list[i]);
  9         arr[list[i]]++;
 10     }
 11     for(int j=0;j<n,j++)
 12     {
 13         if(arr[lucky-list[j]]!=0)
 14         {
 15             printf(""lucky"");
 16             break;
 17         }
 18     }
 19     return 0;
 20 }",Bound,WrongUsage,4
prog42752,"  1 #include <stdio.h>
  2 int main()
  3 {
  4     int n[1000],a[500],nm,i,j,ln,flag=0;
  5     scanf(""%d\n"",&ln);
  6     scanf(""%d\n"",&nm);
  7     for(i=0;i<500;i++)
  8     {
  9         a[i]=0;
 10     }
 11     for(i=0;i<nm;i++)
 12     {
 13         scanf(""%d "",&nm);
 14         c=n[i];
 15         a[c]=a[c]+1;
 16     }
 17     for(i=0;i<nm && flag==0 && nm<=ln;i++)
 18     {
 19         for(j=0;j<nm;j++)
 20         {
 21             if(ln-n[i]==n[j])
 22             {
 23                 c=nm;
 24                 if(a[c]!=0) 
 25                 {
 26                     flag=1;
 27                     break;
 28                 }    
 29             }
 30         }
 31     }
 32     if(flag==1)printf(""lucky"");
 33     else printf(""unlucky"");
 34     return 0;
 35 }",ID,NoDef,0
